word,polarity,frequency
tiny,neutral,277
packets,neutral,277
threw,neutral,275
glasses,neutral,275
mayonnaise,neutral,274
covered,neutral,274
fix,neutral,273
start,neutral,272
establishments,neutral,271
quarter,neutral,271
immediately,neutral,271
serves,neutral,271
difference,neutral,270
waiters,neutral,270
points,neutral,269
month,neutral,269
music,neutral,269
apart,neutral,269
reviews,neutral,268
standards,neutral,268
site,neutral,268
accessible,positive,267
house,neutral,267
negative,negative,266
ages,neutral,266
english,neutral,266
telling,neutral,266
sagrada,neutral,265
show,neutral,265
tasteless,neutral,265
months,neutral,264
fairly,positive,264
noise,negative,264
spent,neutral,264
middle,neutral,264
unprofessional,neutral,263
sea,neutral,263
reheated,neutral,263
heat,neutral,262
warm,positive,262
oreo,neutral,262
renovated,neutral,262
checked,neutral,261
cardboard,neutral,261
beef,neutral,261
business,neutral,261
environment,neutral,261
milk,neutral,261
forgotten,neutral,260
promotions,neutral,260
among,neutral,260
strange,negative,260
familia,neutral,259
frozen,negative,258
constantly,neutral,256
waiter,neutral,256
neglected,negative,255
including,neutral,255
piece,neutral,255
train,neutral,254
tells,neutral,253
sandwiches,neutral,253
complaints,negative,253
outrageous,negative,252
alright,neutral,252
hello,neutral,251
mine,neutral,251
spoke,neutral,250
reasonable,positive,250
sign,neutral,248
friday,neutral,248
ridiculous,negative,248
families,neutral,248
disgraceful,negative,247
malaga,neutral,247
hire,neutral,245
correctly,positive,245
promotion,neutral,244
somewhere,neutral,244
slower,negative,243
downstairs,neutral,243
added,neutral,243
vegetarian,neutral,242
sell,neutral,241
ended,neutral,241
gives,neutral,241
mixed,neutral,240
midnight,neutral,240
driver,neutral,240
perhaps,neutral,240
placing,neutral,240
appreciated,positive,240
repeat,neutral,238
france,neutral,237
similar,neutral,237
slowest,negative,237
wearing,neutral,237
within,neutral,236
tomato,neutral,236
hasn,neutral,234
choice,neutral,234
mean,neutral,234
fan,neutral,233
calling,neutral,232
handle,neutral,232
uncomfortable,negative,232
fried,negative,231
raw,neutral,231
picked,neutral,231
shift,neutral,230
cheaper,positive,230
complaining,negative,229
terribly,negative,228
certain,neutral,228
elevator,neutral,227
rating,neutral,227
talk,neutral,227
fewer,neutral,227
errors,negative,226
positive,positive,226
anywhere,neutral,225
online,neutral,225
grab,neutral,225
sat,neutral,224
burnt,neutral,224
sad,negative,224
believe,neutral,224
desserts,neutral,222
putting,neutral,222
disappointment,negative,221
unlike,neutral,221
remember,neutral,221
lacking,negative,221
seats,neutral,220
charging,neutral,219
seeing,neutral,219
mustard,neutral,219
six,neutral,219
services,neutral,219
partner,neutral,219
smells,negative,218
feeling,neutral,217
none,neutral,217
finished,neutral,217
process,neutral,216
trouble,negative,216
important,positive,216
bland,negative,216
depending,neutral,216
ignored,neutral,216
spilled,neutral,215
apple,neutral,215
mccafe,neutral,215
salt,neutral,214
file,neutral,214
crispy,neutral,213
arrogant,negative,213
embarrassing,negative,212
removed,neutral,212
showed,neutral,212
advantage,positive,212
excuse,negative,212
inedible,neutral,212
along,neutral,211
closes,neutral,210
advertising,neutral,210
addition,neutral,210
realize,neutral,210
central,neutral,210
donald,neutral,210
disrespectful,negative,210
fill,neutral,208
level,neutral,208
move,neutral,208
combo,neutral,208
french,neutral,207
drivers,neutral,207
responsibility,neutral,207
regarding,neutral,206
somewhat,neutral,206
contact,neutral,206
across,neutral,206
cents,neutral,206
shop,neutral,205
worked,positive,205
miss,negative,204
coffees,neutral,204
read,neutral,203
american,neutral,203
answered,neutral,203
continue,neutral,203
stale,negative,203
crowds,neutral,202
preparation,neutral,201
accept,neutral,200
dog,neutral,200
stuck,negative,200
mini,neutral,200
sent,neutral,199
bottle,neutral,199
toys,neutral,199
salads,neutral,199
portions,neutral,198
disastrous,negative,198
pounder,neutral,198
extras,neutral,197
improvement,positive,197
passing,neutral,197
wish,neutral,197
onion,neutral,197
style,neutral,196
item,neutral,196
stay,neutral,196
ahead,neutral,195
turns,neutral,195
save,neutral,195
celebrated,positive,194
replace,neutral,194
manners,neutral,194
politely,neutral,194
explain,neutral,193
running,neutral,193
bother,negative,193
stairs,neutral,193
gift,neutral,193
occasions,neutral,192
returning,neutral,191
overcooked,neutral,190
granada,neutral,190
syrup,neutral,189
bus,neutral,189
attended,neutral,189
portugal,neutral,188
basic,neutral,188
men,neutral,188
satisfied,positive,188
managed,neutral,188
pickup,neutral,188
serious,neutral,188
colleague,neutral,188
patty,neutral,187
group,neutral,187
standing,neutral,187
mind,neutral,186
toppings,neutral,186
lunchtime,neutral,186
allow,neutral,186
shirt,neutral,186
baby,neutral,185
image,neutral,185
rich,positive,184
desire,neutral,184
according,neutral,184
pieces,neutral,183
personally,neutral,183
cans,neutral,183
thrown,neutral,183
august,neutral,182
kindly,positive,182
trip,neutral,182
common,neutral,182
increasingly,neutral,181
stand,neutral,181
crazy,negative,181
personal,neutral,181
certainly,neutral,181
honest,positive,181
allowed,neutral,180
supposedly,neutral,180
recently,neutral,180
error,negative,180
areas,neutral,179
birthdays,neutral,179
impeccable,positive,179
safe,positive,179
discount,neutral,179
understaffed,neutral,179
answers,neutral,178
information,neutral,178
directly,neutral,178
smelled,negative,178
goodness,positive,178
fails,negative,178
picture,neutral,177
highway,neutral,177
tired,negative,177
weekend,neutral,177
pandemic,neutral,177
sundae,neutral,177
balloon,neutral,176
seriously,neutral,176
cordoba,neutral,176
useless,negative,176
ground,neutral,176
annoying,negative,176
notice,neutral,175
against,neutral,175
